Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2500,1.41441,0.000292503,0.32598534,0.3582474226804124,0.3582474226804124,24.311855670103093,0.09893313,0.24549428
5000,1.42093,0.00027750302,0.64363784,0.8142707240293809,0.8142707240293809,40.90661070304302,0.018886697,0.24613719
7500,1.4245257,0.00026250302,0.84222823,0.9336870026525199,0.9336870026525199,20.277453580901856,0.01250116,0.24866478
10000,1.425567,0.00024750305,0.8587461,0.9175173540220498,0.9175173540220498,15.302164148632095,0.016056087,0.24617967
12500,1.4219514,0.00023250305,0.90406704,0.9461157024793388,0.9461157024793388,12.159338842975206,0.0133269755,0.24372381
15000,1.4259112,0.00021750307,0.9260425,0.9650371287128713,0.9650371287128713,11.416150990099009,0.008490396,0.24717876
17500,1.4260418,0.00020250306,0.9310342,0.9631954350927246,0.9631954350927246,10.384022824536377,0.009149844,0.24087843
20000,1.4274457,0.00018750306,0.92032176,0.9542701393095094,0.9542701393095094,11.106602059357964,0.009503357,0.24435344
22500,1.4285619,0.00017250306,0.93256676,0.9660825325042397,0.9660825325042397,10.286037309214246,0.008062725,0.24115796
25000,1.4234006,0.00015750308,0.9285173,0.9638250140213124,0.9638250140213124,10.190970274817722,0.008589653,0.24291448
27500,1.4298387,0.00014250306,0.92255104,0.9550531190411332,0.9550531190411332,9.876872786706619,0.01147134,0.23775904
30000,1.4273647,0.00012750307,0.93854356,0.9713018523349857,0.9713018523349857,9.417427602400208,0.0060096127,0.23894563
32500,1.4218231,0.000112503076,0.9438726,0.9757794382891007,0.9757794382891007,9.276990466374645,0.0053152665,0.23984753
35000,1.4125266,9.7503085e-05,0.9466507,0.9795867562857854,0.9795867562857854,8.943739108787652,0.0044544223,0.24049062
37500,1.4132023,8.250309e-05,0.9427522,0.9766390354182366,0.9766390354182366,9.025621703089676,0.0064797113,0.2406742
40000,1.4070038,6.75031e-05,0.94967806,0.9836148222838417,0.9836148222838417,9.069069826065036,0.0047550937,0.24375813
42500,1.3993733,5.2503092e-05,0.9471817,0.9805658056580566,0.9805658056580566,8.819434194341943,0.004958229,0.24142988
45000,1.3934879,3.7503094e-05,0.940022,0.9737927687454502,0.9737927687454502,8.695462266440185,0.0060652127,0.24017534
47500,1.3873211,2.2503102e-05,0.9448537,0.9785542168674699,0.9785542168674699,8.614457831325302,0.004678203,0.23983556
50000,1.3835708,7.5031057e-06,0.95151997,0.9867661212704524,0.9867661212704524,8.607555341674686,0.003095825,0.23913135
