Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
6452226,0.65056396,7.421114e-05,98.13768,4.317403,0.49988085,2731.142082989216,2731.142086945474,4758.75
6462229,0.6716921,7.4171134e-05,115.74073,0.041946787,0.5130477,None,None,None
6472228,0.67935634,7.413112e-05,83.350204,2.1890361,0.3954875,2717.31032482783,2717.3103209373853,4804.833333333333
6482227,0.6761066,7.409113e-05,117.29541,0.4020354,0.45896396,None,None,None
6492226,0.69192547,7.405113e-05,113.25483,0.061552703,0.55202466,None,None,None
6502227,0.7029016,7.4011135e-05,102.72094,2.0467074,0.3437174,2740.7928246855736,2740.7928445488214,4737.75
6512226,0.67658955,7.397113e-05,116.15295,0.02574732,0.5473812,None,None,None
6522230,0.69476104,7.393112e-05,93.58083,3.4843507,0.45865336,2739.7329512437186,2739.732956877599,4714.5
6532226,0.68711686,7.3891126e-05,118.53224,0.0073531815,0.5143403,None,None,None
6542229,0.6808935,7.385113e-05,109.454475,0.12894908,0.5133871,None,None,None
6552227,0.6968982,7.381113e-05,107.253746,5.08899,0.43763953,2697.653692007065,2697.653708940372,4778.75
6562227,0.6697083,7.377113e-05,117.303986,0.026875457,0.48591167,None,None,None
6572228,0.67542857,7.373113e-05,93.03383,6.386201,0.42613998,2738.666378751397,2738.666390142093,4747.0
6582228,0.66675603,7.369113e-05,118.956566,0.0056342287,0.5712063,None,None,None
6592226,0.6694619,7.365113e-05,107.378494,2.1753023,0.5251814,2755.2005277872086,2755.2005352551737,4747.666666666667
6602228,0.66136676,7.3611125e-05,114.765625,0.77909,0.3961931,2775.438005924225,2775.4380176588893,4742.0
6612228,0.64975226,7.357114e-05,115.43114,0.21384081,0.49377403,None,None,None
6622229,0.6781699,7.3531126e-05,95.01205,6.5585866,0.40783665,2760.4250424305596,2760.42503743122,4758.5
6632228,0.6598053,7.349112e-05,118.491806,0.0075767776,0.5645098,None,None,None
6642226,0.68797374,7.345113e-05,98.753784,2.494592,0.50778496,2747.2019798755646,2747.2019847482443,4741.333333333333
6652226,0.66561776,7.341114e-05,113.0434,0.69755965,0.46572724,2660.298966407776,2660.2989927455783,4676.0
6662227,0.6791532,7.337113e-05,95.37872,0.7583585,0.42963862,2687.375373363495,2687.375354297459,4610.0
6672228,0.6789572,7.3331124e-05,104.97741,4.934401,0.43665376,2691.2043091773985,2691.2043174773453,4696.4
6682229,0.6671456,7.329113e-05,116.33443,0.02911895,0.5230781,None,None,None
6692230,0.71548736,7.3251125e-05,91.99627,4.742547,0.49002567,2682.5765566825867,2682.5765582943955,4720.333333333333
6702229,0.73813915,7.321112e-05,89.50438,20.78416,0.51546127,None,None,None
6712229,0.847425,7.317112e-05,46.741314,9.940587,0.6074002,2699.5202374100686,2699.520246194303,4722.2
6722229,0.7500283,7.313112e-05,90.84968,0.07143686,0.6110466,None,None,None
6732230,0.7795126,7.309113e-05,73.803856,2.628799,0.5919746,None,None,None
6742227,0.7751743,7.305113e-05,76.41161,3.1549997,0.5337671,2494.146319846312,2494.14632897079,4720.0
6752226,0.756285,7.3011135e-05,85.52647,0.1517299,0.54619443,None,None,None
6762229,0.8165966,7.2971125e-05,58.58778,4.5833325,0.5554094,2709.6575488328936,2709.6575681209565,4721.8
6772230,0.74530274,7.293112e-05,90.94848,0.40274024,0.26347017,None,None,None
6782228,0.7537459,7.289112e-05,91.45273,19.524357,0.5774812,1353.9409759044647,1353.9409912340343,12198.5
6792229,0.7153648,7.285113e-05,114.94108,2.4556322,0.47217903,2706.484135389328,2706.4841321781278,4946.5
6802228,0.7165234,7.281113e-05,106.08468,0.76450723,0.44721746,2726.2324142456055,2726.2324398756027,4675.0
6812226,0.7902009,7.277113e-05,89.08939,17.363258,0.39558727,2691.246395802498,2691.246387732029,4742.0
6822230,0.7324191,7.273113e-05,114.24211,0.14409982,0.46874684,None,None,None
6832227,0.7507163,7.269113e-05,95.28521,2.0868526,0.5404997,2736.4783526062965,2736.478345854208,4799.5
6842230,0.69927126,7.2651135e-05,118.10723,0.7188097,0.44556913,None,None,None
6852226,0.6899378,7.2611125e-05,102.58135,3.256414,0.43108064,2702.760527610779,2702.7605001032352,4939.0
6862226,0.72259545,7.2571136e-05,95.33028,1.4662315,0.48270184,2720.8371338129045,2720.837123773992,4810.8
6872228,0.67022324,7.253113e-05,116.48726,0.066364154,0.50660336,None,None,None
6882230,0.6993391,7.249112e-05,94.577034,2.070866,0.40075427,2731.642545938492,2731.6425618827343,4811.75
6892229,0.669439,7.245113e-05,117.366104,0.013832825,0.525123,None,None,None
6902228,0.7316661,7.241112e-05,83.42305,3.1185784,0.70739716,2738.4528580904007,2738.452847339213,4758.5
6912229,0.6942263,7.237113e-05,102.444626,3.3646908,0.5131184,2593.9543849229813,2593.954390944913,4803.5
6922229,0.68013567,7.2331124e-05,108.89975,1.3186092,0.46071115,None,None,None
6932227,0.7394055,7.229113e-05,82.29317,8.354228,0.6127188,2321.6115958988667,2321.611582685262,4816.0
6942228,0.666819,7.2251125e-05,111.984886,0.507848,0.5119216,None,None,None
6952230,0.82030576,7.221113e-05,55.34347,10.727662,0.7260281,2250.800203680992,2250.8001902624965,4816.0
6962230,0.6766454,7.217112e-05,110.40398,1.0999829,0.38905364,2259.4437076449394,2259.4437032975256,4844.75
6972227,0.68640983,7.213113e-05,108.64924,0.7172316,0.5039487,None,None,None
6982226,0.71064997,7.2091134e-05,96.230125,2.469865,0.54892653,2700.586965382099,2700.58696282655,4746.75
6992227,0.67117167,7.205114e-05,114.90868,0.100176334,0.5929769,None,None,None
7002228,0.7486316,7.2011135e-05,71.38181,5.0890384,0.59370875,2753.9077870845795,2753.907773722708,4827.4
7012226,0.663364,7.197114e-05,118.583046,0.06362427,0.35101056,2746.507936477661,2746.5079294219613,4710.0
7022229,0.68764067,7.1931136e-05,103.25832,1.3245691,0.531172,None,None,None
7032228,0.7185002,7.189113e-05,94.82837,4.123056,0.5071808,2646.1703011393547,2646.17030617781,4782.75
7042226,0.6702196,7.185114e-05,111.78732,0.5244056,0.61477613,None,None,None
7052226,0.7654841,7.181113e-05,63.287563,9.005622,0.612856,2740.7499673167863,2740.74998072659,4892.166666666667
7062230,0.67446935,7.177113e-05,119.94999,1.1230377,0.3373344,None,None,None
7072228,0.68561107,7.173112e-05,105.87978,1.3710263,0.51357603,None,None,None
7082227,0.7214105,7.169114e-05,93.70785,10.473932,0.41863108,2721.3374334573746,2721.3374479189515,4889.5
