Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
410001,0.67851555,9.1900045e-05,25.803223,-0.39934322,415.27994851555144,0.05469611726792729,415.27995030794824,344.82142857142856,174.98875,0.13862954,0.008078453,0.002973433
420001,0.7184465,9.170005e-05,27.855474,-0.35674638,475.6832477142071,0.05906312918924759,475.6832495360025,335.58620689655174,186.62613,0.142557,0.0076599354,0.0022764143
430001,0.6878688,9.150005e-05,29.605198,-0.34841514,450.70319772649697,0.06799972421302097,450.70319920778275,354.81481481481484,181.01987,0.13882233,0.008433442,0.0054824892
440000,0.61982554,9.1300055e-05,30.22735,-0.3290471,471.4714526307994,0.040726868277174776,471.4714542542552,345.0,173.67433,0.13618611,0.0068002283,0.0030877567
450001,0.64877146,9.110005e-05,32.601017,-0.3614205,488.0290996763441,0.048026277150105066,488.02909984632777,345.14814814814815,186.45584,0.13667941,0.00658358,0.004835303
460001,0.6332118,9.0900045e-05,35.465977,-0.34251505,500.5524942628268,0.03669884501994539,500.55249375053523,342.44827586206895,176.90161,0.1371651,0.004943515,0.002936981
470001,0.6255762,9.070004e-05,37.886475,-0.23943946,500.76960800433983,0.06676877722704125,500.76960915686755,342.6551724137931,170.0502,0.14425236,0.007070804,0.0044900007
480001,0.6182282,9.050004e-05,40.27079,-0.13170911,522.2593820137637,0.034380864967325966,522.2593817234572,342.2142857142857,167.27168,0.1416545,0.007034605,0.0050092284
490000,0.59920347,9.0300055e-05,42.91202,-0.0718773,460.5015307750021,0.036093481176067144,460.5015279051981,336.75,157.20137,0.1414143,0.0051752464,0.0028833712
500000,0.6184959,9.010007e-05,39.880074,-0.108359106,523.1805086859634,0.04789713279751595,523.180511005755,350.32142857142856,179.34262,0.1419816,0.006119324,0.008671808
510000,0.6208115,8.9900066e-05,43.82306,-0.13105297,505.4175958450024,0.042816408499045513,505.4175979586748,352.9230769230769,185.11154,0.14811587,0.007044868,0.011018524
520001,0.65116113,8.970006e-05,45.502827,-0.16046286,491.5789544582367,0.03883311998325898,491.57895440916565,343.8965517241379,161.79758,0.13988765,0.0068057864,0.0039297594
530001,0.6446513,8.950005e-05,46.619926,-0.13185747,474.19640835693906,0.05298054437870243,474.1964086203703,344.2142857142857,154.88109,0.14196128,0.006634141,0.007269646
540001,0.66233075,8.930005e-05,47.60446,-0.13143706,488.28247272116795,0.04322536623190639,488.2824714846377,345.42857142857144,165.73056,0.1395225,0.005872579,0.0046209227
550001,0.64549327,8.9100045e-05,46.665802,-0.20600037,516.3692599822735,0.04045581747677402,516.369264667918,340.2758620689655,171.9461,0.1429924,0.005624324,0.010468725
560000,0.6053062,8.890006e-05,48.621807,-0.3320642,514.9635917246342,0.06019427818474859,514.9635902888009,350.60714285714283,168.36177,0.13746059,0.007642234,0.010489555
570000,0.59956914,8.870007e-05,50.433372,-0.3232616,522.3654460742556,0.045468164343439074,522.3654484548446,344.37931034482756,162.91553,0.14305304,0.005440445,0.0047618435
580000,0.5789351,8.850007e-05,51.10202,-0.29598445,528.8610863898482,0.02851152694607403,528.8610866091082,351.4642857142857,154.09512,0.13920869,0.004365879,0.004269772
590000,0.56781924,8.830007e-05,53.586334,-0.32162753,501.974301142352,0.041716116728431576,501.9743023546679,347.75,145.82666,0.14064394,0.004921531,0.004787996
600000,0.5910549,8.810007e-05,57.059338,-0.28566077,544.8223218476331,0.027855386114593043,544.8223215614756,346.037037037037,151.81125,0.13480899,0.0044825817,0.0014139535
610001,0.5702052,8.790006e-05,55.50297,-0.35119125,470.94031440360203,0.046179037392513625,470.9403181166521,350.10714285714283,144.36333,0.13898163,0.00707375,0.007202685
620000,0.58131164,8.770006e-05,56.41011,-0.31239012,578.639976254216,0.054642229476788394,578.6399762147555,360.9259259259259,150.1845,0.14342023,0.0067892573,0.0064769806
630000,0.55992264,8.750007e-05,57.59975,-0.25648433,512.0850867118154,0.04447197231222942,512.0850895643234,347.64285714285717,136.81328,0.13879421,0.005038469,0.0006853376
640000,0.53034717,8.730007e-05,55.035362,-0.37256765,531.703746676445,0.03488832046319398,531.7037439889142,364.5357142857143,147.89865,0.13851726,0.0043842727,0.006006954
650001,0.5115916,8.710006e-05,58.893387,-0.43958405,539.5224163246155,0.061105213330010885,539.5224148380756,362.56,154.8411,0.14057377,0.0075596124,0.007917291
660001,0.48657462,8.690005e-05,53.956696,-0.48863858,568.7182657277143,0.04420605444950828,568.7182653634636,378.2962962962963,144.65674,0.14231062,0.004063461,0.0017751316
