Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,1.097639,9.9900055e-05,0.46192935,-0.0447593,68.14229918425937,0.07835366475870306,68.1422996912503,21.474056603773583,1410.0275,0.1381537,0.45271477,0.72274584
20002,1.0893254,9.970004e-05,0.27879485,0.018411497,70.8652969861814,0.05161954390820763,70.8652972196854,21.492957746478872,1332.4916,0.14355181,0.11425924,0.21115711
30000,1.0863221,9.950003e-05,-0.022464404,0.13677338,70.72413783312932,0.038448059942028975,70.72413840000284,20.847031963470318,1170.6605,0.13934197,0.09053923,0.12649474
40000,1.07873,9.930005e-05,-0.3137956,0.22239305,68.7834671024737,0.030901469547351092,68.78346692990438,20.23059866962306,1174.9578,0.13852844,0.07383856,0.100813895
50001,1.0747172,9.9100034e-05,-0.6322047,0.21064658,74.98910564146063,0.02322549187143379,74.9891052408132,19.251599147121535,937.1002,0.14360566,0.0602139,0.08945517
60000,1.0672809,9.890004e-05,-1.6209621,0.17772727,79.8786471856607,0.023610090261098702,79.87864704070999,20.56756756756757,991.4538,0.14085853,0.05604468,0.06711191
70001,1.0461917,9.8700046e-05,-2.2361298,0.10869765,78.15450565496349,0.023217937149416466,78.15450558344477,21.046082949308754,1036.6852,0.1405564,0.052609377,0.064755216
80001,0.9867817,9.850003e-05,-2.195973,0.2045374,88.7515107947336,0.01841938558489329,88.75151099457008,21.443661971830984,996.3952,0.13846466,0.042907476,0.059208978
90000,0.86931497,9.830005e-05,-2.1394305,0.17029624,95.82136797039041,0.015548462105675918,95.82136842229609,22.181598062953995,1053.9985,0.14348681,0.035364565,0.055022318
100000,0.6956448,9.8100056e-05,-3.0302951,0.151679,112.92469326959898,0.01707017034139127,112.92469291974828,25.45205479452055,1210.6586,0.13724442,0.032159545,0.044606283
110001,0.5569238,9.790004e-05,-3.378086,0.034948137,137.91864598971694,0.016481134444892184,137.91864478799388,27.84179104477612,1564.0465,0.14134128,0.0277899,0.038068485
120000,0.42039502,9.7700045e-05,-4.6557803,-0.23966329,175.51281418865673,0.015388639791300902,175.51281480789694,32.25342465753425,1994.4398,0.14715621,0.023324534,0.032804128
130000,0.33072194,9.750005e-05,-4.4603086,-0.4868709,206.26655523661788,0.015883654724723455,206.26655483605916,35.11895910780669,2273.354,0.13996905,0.021116493,0.029467711
140000,0.28819427,9.730005e-05,-3.3333848,-0.9103889,228.63363368694598,0.013673398410005925,228.6336335628365,36.41923076923077,2476.8306,0.14443983,0.017414067,0.023322599
150002,0.28813785,9.710003e-05,-2.625002,-1.2112422,243.10669252607556,0.012136761020565967,243.10669179423343,37.726190476190474,2557.9463,0.1366071,0.0151524525,0.02625901
160000,0.2566963,9.690004e-05,-0.8838331,-1.3999475,248.30480499267577,0.011250327384099364,248.30480561822654,37.78,2573.074,0.13915752,0.014194839,0.023266714
170001,0.25559425,9.6700045e-05,0.32418343,-1.642624,255.94301951458178,0.009833360692097181,255.9430195381304,38.08433734939759,2633.5173,0.13646545,0.012853919,0.022663875
180001,0.27841565,9.6500036e-05,1.8855342,-1.5074022,262.27629386054144,0.011233665342886178,262.2762939372647,38.00396825396825,2635.066,0.13313395,0.014159754,0.027134174
190000,0.27833843,9.630004e-05,1.9693459,-1.3847679,269.27398950727155,0.01238116534442266,269.2739921986006,39.448132780082986,2688.8152,0.13913234,0.014173053,0.025120327
200000,0.27050492,9.6100055e-05,3.0727348,-1.3049496,269.8048434358106,0.010552281412622157,269.80484263325417,40.18565400843882,2574.4968,0.14062911,0.013053666,0.02466262
210000,0.26976177,9.590005e-05,3.269605,-1.3871657,270.4410669639193,0.01088236026257148,270.44106680662213,40.97844827586207,2521.9165,0.14550394,0.0125742555,0.022280287
