Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.419549,0.00029940062,0.33406788,0.82829666,5.930279,0.24269047,3.0993545,0.3716558,0.6669208,51.0,30.110741194337606,51.0,756.0
2000,1.4188223,0.0002982006,0.7248459,2.1009996,0.7155209,0.24835661,0.7985034,0.260481,0.7390103,35.0,30.871298909187317,35.0,787.0
3000,1.4217951,0.00029700057,0.32130402,1.9572889,7.536915,0.26237658,0.7019521,0.22076173,0.7570962,38.333333333333336,13.330937460064888,38.333333333333336,431.6666666666667
4000,1.4296333,0.00029580062,0.23255141,1.908241,13.917669,0.2458402,0.69009876,0.22018531,0.7670237,50.0,17.38328167796135,50.0,769.0
5000,1.4342515,0.0002946006,1.1239719,2.0536797,6.0271654,0.2665732,0.6418958,0.19179374,0.7761977,166.0,17.298669815063477,166.0,609.0
6000,1.4388018,0.0002934006,0.7259493,1.8100402,3.8228667,0.24531801,0.6077257,0.18627825,0.7919645,75.0,18.32134774327278,75.0,762.5
7000,1.4454793,0.00029220062,1.0801083,2.11199,8.561689,0.25081146,0.6974202,0.23159331,0.7603375,33.5,12.37432918511331,33.5,427.0
8000,1.4499606,0.00029100062,1.3504318,2.3255742,14.493482,0.26231498,0.6562556,0.1963599,0.76854503,73.5,9.594828426837921,73.5,337.0
9000,1.4588333,0.0002898006,2.1396961,2.0027122,10.973789,0.26047528,0.6630252,0.21178505,0.76853967,101.0,14.999311491847038,101.0,599.0
10000,1.4600364,0.00028860063,2.2982428,2.2432466,14.978868,0.25348204,0.6030449,0.17233357,0.7788462,99.0,9.040951256950697,99.0,383.3333333333333
11000,1.46517,0.00028740062,1.5229087,1.7817957,10.000745,0.23260629,0.54977417,0.14838213,0.7834135,66.0,7.633860379457474,66.0,362.0
12000,1.4712024,0.00028620064,3.1349409,2.3259683,9.063393,0.24081853,0.61818945,0.1873964,0.76576585,55.0,9.733821819225946,55.0,481.3333333333333
13000,1.4709233,0.00028500063,2.2173138,2.5478868,7.594405,0.23958623,0.59364516,0.16915727,0.7747636,48.666666666666664,6.483229915301005,48.666666666666664,295.3333333333333
14000,1.4708979,0.00028380062,0.98939943,2.4315126,11.889082,0.23044904,0.58481944,0.16124669,0.77966624,53.0,5.946155235171318,53.0,274.75
15000,1.4740946,0.00028260064,0.7544327,2.1429095,10.927796,0.23834658,0.56878823,0.16289048,0.7816941,54.666666666666664,5.934969484806061,54.666666666666664,279.0
16000,1.4753321,0.00028140063,-0.48304868,1.961246,7.0616827,0.2356296,0.54941434,0.15231806,0.7807952,38.0,5.048462053140004,38.0,279.3333333333333
17000,1.476302,0.00028020065,0.25225586,2.1753576,7.6923785,0.21837865,0.54822737,0.15646748,0.78092974,40.75,4.562963999807835,40.75,258.75
18000,1.479778,0.0002790006,-0.09110169,2.007209,4.877108,0.23627596,0.5068319,0.13335818,0.78279454,40.5,4.1158370934426785,40.5,247.0
19000,1.4796785,0.00027780063,1.2226342,1.963155,8.77079,0.2580589,0.51480186,0.14076866,0.7863039,60.333333333333336,4.015230129162471,60.333333333333336,268.3333333333333
20000,1.479719,0.00027660062,0.87418455,1.8636317,4.748079,0.23658429,0.4733798,0.12305271,0.8056144,40.5,3.6882552318274975,40.5,251.0
21000,1.4836295,0.00027540064,0.73620224,1.7910547,4.128072,0.25604692,0.5028137,0.13052288,0.79449534,40.5,3.411420375108719,40.5,234.25
