Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4187629,0.00029700302,-0.27471665,0.17697617,0.22739907,2.283331592877706,2.283331592877706,309.6666666666667
2000,1.4139485,0.00029100303,0.12023864,0.14167733,0.23640043,0.8866659800211588,0.8866659800211588,319.6666666666667
3000,1.4118447,0.000285003,0.120540634,0.0103663,0.2383394,0.0,0.0,301.3333333333333
4000,1.4092613,0.00027900303,0.19527487,0.08244501,0.2541281,2.4899980624516806,2.4899980624516806,305.0
5000,1.4028901,0.00027300304,0.39233696,0.038784333,0.2327627,2.566664695739746,2.566664695739746,301.6666666666667
6000,1.4010656,0.00026700302,0.67683333,0.04952631,0.25619492,1.5533321301142375,1.5533321301142375,316.6666666666667
7000,1.3951455,0.000261003,0.971549,0.026249222,0.2552281,1.6666653951009114,1.6666653951009114,333.3333333333333
8000,1.3912061,0.00025500305,1.06576,0.0149068665,0.24496341,3.0074976086616516,3.0074976086616516,296.0
9000,1.3884041,0.00024900303,1.0969735,0.022640856,0.24108586,1.3299989700317383,1.3299989700317383,328.0
10000,1.3904656,0.00024300304,0.89286065,0.013809263,0.22832558,0.7233328024546305,0.7233328024546305,338.3333333333333
11000,1.388714,0.00023700304,0.83702016,0.01976295,0.25447685,0.0,0.0,367.0
12000,1.3900952,0.00023100304,0.45142204,0.031747103,0.25375223,0.9433325926462809,0.9433325926462809,348.0
13000,1.3892443,0.00022500305,0.35760063,0.014915777,0.24358644,1.2499990463256836,1.2499990463256836,332.0
14000,1.3896465,0.00021900305,0.30068296,0.013637048,0.24765919,0.8333326975504557,0.8333326975504557,328.3333333333333
15000,1.3896098,0.00021300303,0.173857,0.0016850446,0.24330972,0.0,0.0,367.6666666666667
16000,1.393296,0.00020700306,0.035542727,0.04010151,0.22462615,0.8866659800211588,0.8866659800211588,344.6666666666667
17000,1.3958803,0.00020100304,0.21616864,0.007350809,0.23510173,0.0,0.0,345.5
18000,1.398055,0.00019500304,0.4461565,0.015827242,0.25307745,1.4466655651728313,1.4466655651728313,332.3333333333333
19000,1.3947806,0.00018900307,0.59131956,0.03945151,0.23449405,2.0424984097480774,2.0424984097480774,307.75
20000,1.3938764,0.00018300307,0.7125417,0.024762793,0.2537362,1.1649991273880005,1.1649991273880005,338.0
21000,1.3931102,0.00017700305,0.6843388,0.03070004,0.2562209,1.8633318742116292,1.8633318742116292,343.0
