Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
55000,1.3845853,0.00023460065,14.374628,-0.13727403,6.022133,0.24585246,0.2200877,0.050905123,0.8886212,115.0,1.4494078042916954,115.0,247.0
56000,1.3808215,0.00023340064,19.022882,-0.1119114,15.195518,0.24804766,0.22901925,0.061524373,0.8931142,165.33333333333334,1.5988846725473802,165.33333333333334,247.0
57000,1.3783134,0.00023220065,18.971472,-0.12521602,2.639773,0.241577,0.22630721,0.05609183,0.88952386,156.5,1.640527687035501,156.5,247.0
58000,1.3723378,0.00023100065,17.473412,-0.13809828,5.918597,0.2466762,0.21295759,0.046815675,0.89075047,114.0,1.4614052949473262,114.0,247.0
59000,1.3665862,0.00022980064,13.223767,-0.13031265,4.7183723,0.2356098,0.2837298,0.05009854,0.8899206,114.5,1.431526580126956,114.5,247.0
60000,1.3630735,0.00022860065,16.443594,-0.047741953,6.3797684,0.24072634,0.35735628,0.06143972,0.88720876,108.66666666666667,1.5207820162177086,108.66666666666667,247.0
61000,1.3556298,0.00022740064,14.9122,-0.11087283,3.4949284,0.2489123,0.4244209,0.051998258,0.88767517,106.5,1.5473765754140913,106.5,247.0
62000,1.3574836,0.00022620066,14.22578,-0.13509335,3.119671,0.23443213,0.475868,0.04585727,0.89222336,106.5,1.4442320284433663,106.5,247.0
63000,1.3574326,0.00022500065,10.908548,-0.18734784,3.2832298,0.24866948,0.21919288,0.053805865,0.890597,115.0,1.5258969170972705,115.0,247.0
64000,1.3574803,0.00022380064,14.010448,-0.1253557,8.191894,0.2375356,0.22252771,0.058818202,0.89083636,121.33333333333333,1.4350148662924767,121.33333333333333,247.0
65000,1.3547426,0.00022260063,13.99813,-0.15510713,11.817139,0.24350321,0.21224087,0.052441448,0.8940694,156.5,1.4663244234398007,156.5,247.0
66000,1.3502878,0.00022140065,15.282826,-0.17133594,11.418039,0.2207288,0.21078348,0.046363585,0.89317954,155.5,1.549496561754495,155.5,247.0
67000,1.3495299,0.00022020066,12.056537,-0.21371666,8.880639,0.2544714,0.22136492,0.052606612,0.8917829,148.0,1.4946461552754045,148.0,247.0
68000,1.3489676,0.00021900066,16.896584,-0.1292921,5.9172177,0.25678423,0.22615483,0.06666129,0.8963458,142.0,1.7638293579220772,142.0,247.0
69000,1.3472146,0.00021780064,16.010555,-0.19017464,8.41012,0.24210058,0.20246546,0.04640795,0.8978089,165.0,1.5691861254163086,165.0,255.0
70000,1.3422837,0.00021660066,14.105634,-0.16189125,2.0648284,0.24094553,0.21459267,0.056122918,0.8949182,140.0,1.574148426298052,140.0,247.0
71000,1.3382998,0.00021540065,16.649277,-0.12461439,4.2997575,0.26199123,0.22495249,0.060419925,0.89692736,142.66666666666666,1.5263403039425611,142.66666666666666,252.33333333333334
72000,1.336897,0.00021420064,17.970367,-0.048317965,8.326408,0.258069,0.21262124,0.050272126,0.8892846,140.0,1.519927299581468,140.0,247.0
73000,1.3394324,0.00021300066,17.078262,-0.1600829,10.2322445,0.24905384,0.20824684,0.045821253,0.8920819,156.0,1.4805201683193445,156.0,251.0
74000,1.3375087,0.00021180065,13.825379,-0.1499205,2.9334888,0.24682885,0.20510614,0.051628076,0.9015455,148.5,1.5062167677097023,148.5,247.0
75000,1.3342975,0.00021060064,17.567192,-0.014996611,38.10125,0.25298405,0.22331691,0.065915816,0.8979669,198.66666666666666,1.8629900114610791,198.66666666666666,263.0
76000,1.330938,0.00020940065,14.188728,-0.50276047,12.389694,0.25263667,0.28201118,0.07259182,0.89642376,186.66666666666666,3.6916555002098903,186.66666666666666,295.3333333333333
77000,1.3335656,0.00020820067,26.311405,-0.7463316,38.020115,0.2423731,0.40652183,0.13486874,0.8839556,140.0,5.628556435927749,140.0,247.0
78000,1.3344144,0.00020700066,25.788597,-0.54265845,19.219505,0.23974329,0.48452026,0.17194344,0.8778415,156.0,7.736326958984137,156.0,250.25
79000,1.3345037,0.00020580065,26.087606,0.04584553,19.350721,0.24315755,0.43393448,0.15775122,0.88048786,114.5,6.209279241040349,114.5,238.75
80000,1.3341202,0.00020460064,30.109638,0.43814757,32.61733,0.25166494,0.3936057,0.13765645,0.87683547,154.0,4.351503545418382,154.0,241.33333333333334
81000,1.3348179,0.00020340065,27.057848,0.9481833,14.486925,0.24653886,0.3748498,0.13834602,0.8748581,123.5,4.467152854427695,123.5,242.75
82000,1.3360195,0.00020220065,28.51541,1.2837751,22.2184,0.23608492,0.35712948,0.121951975,0.86990494,106.0,3.0445773685351014,106.0,234.75
83000,1.3362589,0.00020100066,25.962837,1.1425536,18.900135,0.26048273,0.32792065,0.098458886,0.8667358,107.0,2.6768621541559696,107.0,234.5
84000,1.3375715,0.00019980063,25.678043,0.91654336,29.573006,0.25674462,0.29389834,0.07655598,0.87106925,89.5,1.9047642131336033,89.5,230.0
85000,1.3385656,0.00019860065,19.644875,0.6518426,14.866395,0.25831926,0.29393834,0.077089556,0.87327653,89.5,1.9245156408287585,89.5,230.0
86000,1.3376306,0.00019740064,14.963114,0.5530429,5.4725122,0.24496087,0.28004596,0.08215194,0.8816358,89.5,2.1007234663702548,89.5,230.0
87000,1.3374925,0.00019620065,12.974151,0.27596423,5.5657425,0.23962867,0.27184936,0.060763214,0.8785375,98.0,1.3978054556064308,98.0,230.0
88000,1.3331243,0.00019500066,11.467274,-0.07731823,8.140397,0.24217659,0.28317052,0.074698776,0.88017046,89.5,1.8531586788594723,89.5,230.0
89000,1.3342398,0.00019380066,10.561311,-0.47970036,12.783357,0.23942153,0.25394076,0.05787075,0.88205993,81.0,1.3704540906473994,81.0,230.0
90000,1.335854,0.00019260067,9.285155,-0.4732596,15.719416,0.23810504,0.2623533,0.07598482,0.88554806,72.5,1.968207474797964,72.5,230.0
91000,1.3364185,0.00019140064,7.651184,-0.7559667,5.439988,0.25772482,0.2523882,0.062126365,0.88419133,81.0,1.5659806272014976,81.0,230.0
92000,1.3362483,0.00019020066,7.280484,-0.75262564,8.347146,0.23641768,0.25833255,0.06499913,0.8842795,81.0,1.5625440371222794,81.0,230.0
93000,1.3339065,0.00018900067,6.550974,-1.0677373,5.0400424,0.24936053,0.23015101,0.052831773,0.889477,81.0,1.2638140204362571,81.0,230.0
94000,1.3327997,0.00018780066,6.127638,-1.0459733,6.4341598,0.2432779,0.25225788,0.064119056,0.8870567,72.5,1.6028133039362729,72.5,230.0
95000,1.3297904,0.00018660065,6.1169643,-1.2719722,6.025705,0.24250427,0.2335183,0.054998305,0.8893949,64.0,1.3133434890769422,64.0,230.0
