Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4228047,0.00029940062,1.2483181,0.615672,97.2532,0.24270034,3.5995183,0.3950681,0.6577379,217.0,19.541495144367218,217.0,411.5
2000,1.4195352,0.0002982006,3.3977005,2.6483493,20.171173,0.2580309,0.8350197,0.24613455,0.7080161,199.0,29.599084794521332,199.0,770.0
3000,1.4165027,0.00029700057,1.9365029,1.9535576,11.4015665,0.25316215,0.7012207,0.2133274,0.74436903,82.5,14.729609251022339,82.5,566.5
4000,1.4186854,0.00029580062,1.5564532,2.554281,11.558527,0.2587893,0.6456982,0.167872,0.75808644,66.0,8.075698226690292,66.0,411.0
5000,1.4131387,0.0002946006,2.8016717,2.382395,83.39181,0.25233898,0.6619271,0.20696113,0.7765664,182.5,15.7075105458498,182.5,738.0
6000,1.4122556,0.0002934006,2.917261,1.9300292,27.4488,0.26245457,0.62602353,0.18589744,0.77087975,365.0,19.40101134777069,365.0,835.0
7000,1.4172286,0.00029220062,2.2917604,2.3002605,33.233147,0.24787995,0.65453273,0.18485902,0.76723385,116.5,14.978969678282738,116.5,598.0
8000,1.4282163,0.00029100062,2.1977391,2.297605,34.278214,0.24442258,0.61048245,0.18335322,0.77469325,133.0,17.245695292949677,133.0,815.0
9000,1.4377115,0.0002898006,2.765688,2.1577,6.5084286,0.25364074,0.56973183,0.15579289,0.7829639,235.0,16.827600836753845,235.0,790.0
10000,1.4491496,0.00028860063,1.1074694,1.6886855,12.568079,0.26330924,0.5402729,0.1540325,0.793444,67.0,16.692545473575592,67.0,810.0
11000,1.4601133,0.00028740062,1.2808541,1.6373672,17.664284,0.24379547,0.50137043,0.13156357,0.79947233,101.0,14.187796216458082,101.0,803.0
12000,1.4703934,0.00028620064,1.3079045,1.6775701,54.755863,0.25945306,0.5536065,0.16047305,0.7854059,101.0,13.60789979994297,101.0,830.0
13000,1.4824272,0.00028500063,2.9418519,1.5379902,30.304815,0.24224494,0.48541552,0.12326083,0.79654884,269.0,13.136919781565666,269.0,848.0
14000,1.4947046,0.00028380062,3.548148,1.3773104,37.9601,0.24611175,0.43200532,0.10080679,0.80952775,235.0,12.454843997955322,235.0,856.0
15000,1.5079712,0.00028260064,3.31128,1.2988751,27.32744,0.24766001,0.4105873,0.097714685,0.8218095,235.0,11.646939128637314,235.0,928.0
16000,1.5195178,0.00028140063,2.6586692,1.1234089,21.785374,0.24739778,0.38842887,0.0844315,0.82235867,169.0,10.837671026587486,169.0,954.0
17000,1.53421,0.00028020065,1.8219881,0.9766407,31.97757,0.23417561,0.38408715,0.08651106,0.8228109,167.0,9.5811298340559,167.0,934.0
18000,1.5441598,0.0002790006,2.7344882,0.85210824,46.21838,0.22645076,0.37670386,0.08230846,0.82082283,201.0,9.507326095364988,201.0,946.0
19000,1.5581238,0.00027780063,4.4544873,0.8317635,49.06913,0.22104387,0.3852066,0.08217614,0.821984,333.0,10.311602024361491,333.0,1010.0
20000,1.5703312,0.00027660062,3.770694,0.7617002,20.82529,0.2656095,0.35055223,0.07730183,0.82870233,301.0,8.87619162723422,301.0,957.0
21000,1.5841612,0.00027540064,6.793767,0.84258616,105.11859,0.24410951,0.33338237,0.080252096,0.84181446,167.0,8.604906268417835,167.0,937.0
22000,1.594114,0.00027420063,9.254469,0.7662399,25.772682,0.25707728,0.29903227,0.07349956,0.8503388,701.0,10.273392919450998,701.0,1023.0
23000,1.6069524,0.00027300062,9.211014,0.78959465,102.756805,0.24626207,0.28087062,0.06323287,0.8521224,201.0,9.625936463475227,201.0,1056.0
24000,1.6190624,0.00027180064,10.94787,0.6400871,50.63972,0.2494981,0.27046722,0.06351571,0.8595861,667.0,6.898860577493906,667.0,1081.0
25000,1.6305103,0.0002706006,8.423202,0.57979536,17.534142,0.24355829,0.25331432,0.053239807,0.86383414,333.0,8.308719702064991,333.0,1142.0
26000,1.6482917,0.00026940063,6.244979,0.52186346,21.0465,0.23378202,0.2341918,0.050633162,0.8712151,135.0,7.057903155684471,135.0,1183.0
27000,1.6595949,0.00026820065,1.7888694,0.37751973,3.038255,0.2553774,0.20443581,0.02705221,0.87976176,169.0,5.806451715528965,169.0,1118.0
28000,1.6694416,0.0002670006,5.1632304,0.4909976,51.72291,0.25632626,0.23499547,0.059070695,0.8797883,None,None,None,None
29000,1.6830708,0.0002658006,4.8623066,0.4703609,17.006588,0.26831567,0.20711663,0.048618585,0.8874545,369.0,7.192639684304595,369.0,1143.0
30000,1.6968285,0.00026460065,5.0458336,0.50940883,16.348402,0.24166979,0.21583109,0.04819246,0.8801667,135.0,6.918959587812424,135.0,1233.0
31000,1.7133328,0.0002634006,2.7773547,0.4295745,12.635835,0.22792795,0.19535963,0.039039858,0.88614666,135.0,6.164714656770229,135.0,1285.0
32000,1.7317107,0.00026220066,0.10706207,0.35869312,0.30654484,0.24922217,0.17472456,0.022041924,0.8855365,None,None,None,None
