Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.424671,0.00029940062,0.5780192,0.900956,0.14890996,0.2554135,4.79687,0.46234956,0.67986447,0.0,2.5571356043219566,0.0,353.5
2000,1.4319364,0.0002982006,0.6550428,1.2836021,0.056979924,0.2363577,1.1016635,0.3626162,0.6304288,0.0,1.5469612612699468,0.0,350.3333333333333
3000,1.4397286,0.00029700057,0.35891336,0.96748453,0.014584003,0.23085937,1.0381448,0.36901057,0.6446065,0.0,1.5560567006468773,0.0,334.3333333333333
4000,1.4458681,0.00029580062,0.17170003,0.59419084,0.006341101,0.24825071,1.0657895,0.39120245,0.6398513,0.0,1.7337093260139227,0.0,369.5
5000,1.4480846,0.0002946006,-0.17318437,0.072586685,1.0095756,0.23912096,1.0490868,0.3617854,0.66897243,0.0,3.104742668569088,0.0,509.5
6000,1.4497651,0.0002934006,-0.3199286,-0.3954513,0.027153887,0.26513073,1.0613022,0.38314444,0.64794445,0.0,1.8224995539834101,0.0,361.6666666666667
7000,1.4516753,0.00029220062,-0.38328788,-1.1291544,54.920837,0.25487998,1.0041608,0.34709615,0.6507762,0.0,1.4102327845369775,0.0,312.6666666666667
8000,1.4530048,0.00029100062,-0.373251,-1.6847064,36.75741,0.22258477,1.0069845,0.36099657,0.6552324,0.0,1.4071878294150035,0.0,306.6666666666667
9000,1.4604651,0.0002898006,-0.25499222,-2.5468738,0.2640075,0.25165746,1.0052227,0.35367042,0.65414274,0.0,1.425287504059573,0.0,317.6666666666667
10000,1.4651403,0.00028860063,-0.060145576,-3.893326,9.366049,0.2488496,0.9867443,0.35291547,0.65957034,0.0,1.3660026372720797,0.0,301.3333333333333
11000,1.468613,0.00028740062,-0.035278987,-4.513889,4.518307,0.23621807,0.97450554,0.34026426,0.6658462,0.0,1.2819702811539173,0.0,296.3333333333333
12000,1.4672881,0.00028620064,-0.026259847,-5.2547483,1.0891924,0.23234972,0.98078763,0.349249,0.66546786,0.0,1.3305086779097717,0.0,306.6666666666667
13000,1.4661927,0.00028500063,0.014641821,-7.2815237,0.25190166,0.25186908,0.96669275,0.3363411,0.6667571,0.0,1.3794962627968441,0.0,323.3333333333333
14000,1.4655219,0.00028380062,0.0041424264,-8.49926,0.10089726,0.24613358,0.9779405,0.35670134,0.6636421,0.0,1.5717755254978936,0.0,350.3333333333333
15000,1.4672526,0.00028260064,0.055665467,-7.36354,0.17825553,0.24411455,1.0347074,0.37094617,0.65643466,0.0,2.2971625826321542,0.0,444.0
16000,1.4662243,0.00028140063,0.15131295,-6.7649465,0.069018945,0.2458198,1.0088133,0.36331004,0.6474614,0.0,1.5911703240126371,0.0,340.0
17000,1.4703696,0.00028020065,0.14544034,-6.3479285,0.094568744,0.23564473,1.1254197,0.3982931,0.6197754,0.0,2.6030706907622516,0.0,435.5
18000,1.471768,0.0002790006,0.25440586,-5.6048937,0.4388664,0.25252768,1.1861718,0.40378624,0.60695374,0.0,2.7834805250167847,0.0,460.0
19000,1.4699111,0.00027780063,0.27238986,-2.3833938,0.33913356,0.25771764,1.5425744,0.4891685,0.5282601,2.33500599861145,8.396081522107124,2.33500599861145,620.5
20000,1.4716567,0.00027660062,0.74533653,-2.7255394,0.1798974,0.22907321,1.2261353,0.42376402,0.5483627,3.654998779296875,4.855160798877478,3.654998779296875,633.5
21000,1.469065,0.00027540064,0.35333875,-0.8303492,0.6471653,0.23447761,1.2956134,0.44623792,0.58041644,0.0,3.948520301375538,0.0,592.0
22000,1.465226,0.00027420063,0.37256694,-1.9805765,0.30011636,0.2682231,1.1615926,0.42466804,0.60019267,2.240003824234009,3.6125167133286595,2.240003824234009,581.0
23000,1.4674033,0.00027300062,0.6151027,-2.329722,0.08888356,0.23667294,1.0432982,0.33695066,0.66425526,0.0,2.523572073318064,0.0,584.0
24000,1.4650389,0.00027180064,0.31232372,-1.005844,0.6359406,0.25628945,0.99085987,0.35694587,0.6751414,0.0,2.587940327823162,0.0,558.0
25000,1.4640539,0.0002706006,0.1941782,-0.4025641,0.22787441,0.26315135,1.0218555,0.3916562,0.66861886,0.0,1.9138645293035854,0.0,372.6666666666667
26000,1.4628288,0.00026940063,0.11404474,-1.2433023,0.27261657,0.24607255,0.9076133,0.3274789,0.6956431,0.0,1.5753428324436147,0.0,334.0
