Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029940062,-0.16109705,-59.0,-59.0,345.5
2000,1.4189383,0.0002982006,-0.19146034,79.0,79.0,323.6666666666667
3000,1.4189383,0.00029700057,-0.41165137,-42.75,-42.75,508.0
4000,1.4189383,0.00029580062,-0.42932707,7.5,7.5,513.5
5000,1.4189383,0.0002946006,-0.172542,-24.833333333333332,-24.833333333333332,331.3333333333333
6000,1.4189383,0.0002934006,-0.16635486,-60.5,-60.5,345.0
7000,1.4189383,0.00029220062,-0.10882126,32.166666666666664,32.166666666666664,307.0
8000,1.4189383,0.00029100062,-0.14815491,-9.333333333333334,-9.333333333333334,345.3333333333333
9000,1.4189383,0.0002898006,-0.2458552,-21.0,-21.0,367.3333333333333
10000,1.4189383,0.00028860063,-0.20884965,40.166666666666664,40.166666666666664,334.6666666666667
11000,1.4189383,0.00028740062,-0.1553056,-4.333333333333333,-4.333333333333333,312.0
12000,1.4189383,0.00028620064,-0.14495394,35.5,35.5,279.3333333333333
13000,1.4189383,0.00028500063,-0.24083349,14.5,14.5,394.5
14000,1.4189383,0.00028380062,-0.204633,-28.375,-28.375,283.5
15000,1.4189383,0.00028260064,-0.17860074,-72.25,-72.25,370.0
16000,1.4189383,0.00028140063,-0.39224237,-80.5,-80.5,485.0
17000,1.4189383,0.00028020065,-0.14251558,59.666666666666664,59.666666666666664,296.3333333333333
18000,1.4189383,0.0002790006,-0.21876024,-7.333333333333333,-7.333333333333333,340.0
19000,1.4189383,0.00027780063,-0.2924899,11.25,11.25,304.0
20000,1.4189383,0.00027660062,-0.2819029,-23.333333333333332,-23.333333333333332,438.6666666666667
21000,1.4189383,0.00027540064,-0.09923518,6.166666666666667,6.166666666666667,289.6666666666667
22000,1.4189383,0.00027420063,-0.1713283,12.333333333333334,12.333333333333334,279.0
23000,1.4189383,0.00027300062,-0.16575189,4.75,4.75,316.0
24000,1.4189383,0.00027180064,-0.3495031,-133.0,-133.0,459.0
25000,1.4189383,0.0002706006,-0.26777518,-45.5,-45.5,328.6666666666667
26000,1.4189383,0.00026940063,-0.22832122,-85.5,-85.5,394.0
27000,1.4189383,0.00026820065,-0.14409274,-34.5,-34.5,307.0
28000,1.4189383,0.0002670006,-0.26248878,-14.5,-14.5,451.5
29000,1.4189383,0.0002658006,-0.15179774,-45.833333333333336,-45.833333333333336,350.3333333333333
30000,1.4189383,0.00026460065,-0.19656333,-54.333333333333336,-54.333333333333336,323.6666666666667
