Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4179609,0.00029940062,-0.595138,0.17987669,0.254554,0.0,0.0,386.5
2000,1.4157732,0.0002982006,-0.51401776,0.061136696,0.24548528,0.0,0.0,493.0
3000,1.417074,0.00029700057,-0.1624245,0.020910218,0.2398016,0.0,0.0,410.5
4000,1.4148296,0.00029580062,-0.19965091,0.0054914374,0.24004593,0.0,0.0,435.5
5000,1.4114751,0.0002946006,-0.31864667,0.02821651,0.24810542,0.0,0.0,394.0
6000,1.4061701,0.0002934006,-0.1541799,0.006682858,0.23749828,0.0,0.0,339.3333333333333
7000,1.4061878,0.00029220062,-0.058530007,0.00028948975,0.24761,0.0,0.0,312.6666666666667
8000,1.4044695,0.00029100062,-0.074713334,0.0010405898,0.2496382,0.0,0.0,320.5
9000,1.406596,0.0002898006,-0.0011095417,0.00019055007,0.25052804,0.0,0.0,316.75
10000,1.4113292,0.00028860063,0.018601062,0.00013473089,0.23163028,0.0,0.0,296.3333333333333
11000,1.4142038,0.00028740062,0.013926072,0.0001910926,0.24167886,0.0,0.0,296.0
12000,1.4188044,0.00028620064,0.027285535,0.0012919112,0.23477568,0.0,0.0,295.6666666666667
13000,1.4169834,0.00028500063,0.0025804024,0.0010953483,0.23901066,0.0,0.0,290.6666666666667
14000,1.4198045,0.00028380062,0.012937393,0.014265652,0.26734293,0.0,0.0,301.6666666666667
15000,1.4243085,0.00028260064,-0.12153504,0.0056236605,0.23027694,0.0,0.0,317.6666666666667
16000,1.4295617,0.00028140063,-0.0554173,0.0008604702,0.25975713,0.0,0.0,288.0
17000,1.4277532,0.00028020065,-0.005935008,0.00065159815,0.24054205,0.0,0.0,306.6666666666667
18000,1.42396,0.0002790006,-0.8628291,0.35211927,0.23541118,0.0,0.0,318.0
19000,1.4243445,0.00027780063,-0.70199144,0.13539645,0.24336712,0.0,0.0,285.0
20000,1.4230305,0.00027660062,-0.37278086,0.021798652,0.23682621,0.0,0.0,312.6666666666667
21000,1.4215446,0.00027540064,-0.15181734,0.0019629432,0.24124931,0.0,0.0,323.0
22000,1.4239141,0.00027420063,-0.0993647,0.0007328064,0.25390705,0.0,0.0,344.5
23000,1.4208432,0.00027300062,-0.04247503,0.000141912,0.2435824,0.0,0.0,334.6666666666667
24000,1.4207066,0.00027180064,-0.023157844,0.00075218733,0.25707236,0.0,0.0,322.6666666666667
25000,1.4204915,0.0002706006,-0.04899986,0.000917531,0.24545535,0.0,0.0,328.0
