Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029940062,-0.17320919,-38.25,-38.25,403.0
2000,1.4189383,0.0002982006,-0.1708847,-24.0,-24.0,350.6666666666667
3000,1.4189383,0.00029700057,-0.12702426,-84.75,-84.75,361.0
4000,1.4189383,0.00029580062,-0.10109492,32.833333333333336,32.833333333333336,307.3333333333333
5000,1.4189383,0.0002946006,-0.17631923,40.5,40.5,356.0
6000,1.4189383,0.0002934006,-0.14196773,48.0,48.0,328.5
7000,1.4189383,0.00029220062,-0.12424981,-29.5,-29.5,361.3333333333333
8000,1.4189383,0.00029100062,-0.18588793,-60.333333333333336,-60.333333333333336,400.0
9000,1.4189383,0.0002898006,-0.16905075,52.75,52.75,419.5
10000,1.4189383,0.00028860063,-0.13886341,-81.25,-81.25,386.0
11000,1.4189383,0.00028740062,-0.20273395,-26.5,-26.5,443.5
12000,1.4189383,0.00028620064,-0.11366588,37.25,37.25,316.0
13000,1.4189383,0.00028500063,-0.10212131,-15.25,-15.25,287.5
14000,1.4189383,0.00028380062,-0.20675986,-33.666666666666664,-33.666666666666664,394.0
15000,1.4189383,0.00028260064,-0.16729099,65.0,65.0,328.5
16000,1.4189383,0.00028140063,-0.19223318,-106.33333333333333,-106.33333333333333,427.0
17000,1.4189383,0.00028020065,-0.18452206,-51.5,-51.5,361.6666666666667
18000,1.4189383,0.0002790006,-0.08578324,20.5,20.5,285.3333333333333
19000,1.4189383,0.00027780063,-0.15832937,-68.25,-68.25,394.0
20000,1.4189383,0.00027660062,-0.13321348,-7.166666666666667,-7.166666666666667,339.6666666666667
21000,1.4189383,0.00027540064,-0.14323843,-17.833333333333332,-17.833333333333332,339.6666666666667
22000,1.4189383,0.00027420063,-0.17776826,-71.75,-71.75,402.5
23000,1.4189383,0.00027300062,-0.105431855,1.0,1.0,301.3333333333333
24000,1.4189383,0.00027180064,-0.11836524,-0.8333333333333334,-0.8333333333333334,328.6666666666667
25000,1.4189383,0.0002706006,-0.1634843,-42.5,-42.5,378.5
26000,1.4189383,0.00026940063,-0.22836028,5.0,5.0,427.0
27000,1.4189383,0.00026820065,-0.12602311,-18.333333333333332,-18.333333333333332,339.6666666666667
28000,1.4189383,0.0002670006,-0.10579951,55.833333333333336,55.833333333333336,301.0
29000,1.4189383,0.0002658006,-0.10435624,-43.666666666666664,-43.666666666666664,301.3333333333333
30000,1.4189383,0.00026460065,-0.1269376,-22.25,-22.25,336.5
31000,1.4189383,0.0002634006,-0.12502947,-27.0,-27.0,334.3333333333333
32000,1.4189383,0.00026220066,-0.16712809,-12.5,-12.5,372.6666666666667
33000,1.4189383,0.00026100062,-0.09478604,6.666666666666667,6.666666666666667,290.3333333333333
34000,1.4189383,0.0002598006,-0.10175175,4.5,4.5,295.6666666666667
35000,1.4189383,0.00025860063,-0.12375467,-15.666666666666666,-15.666666666666666,311.6666666666667
36000,1.4189383,0.00025740062,-0.1873134,-55.25,-55.25,435.0
37000,1.4189383,0.0002562006,-0.21477652,-96.25,-96.25,483.5
38000,1.4189383,0.00025500063,-0.17029756,-4.166666666666667,-4.166666666666667,378.6666666666667
39000,1.4189383,0.00025380062,-0.13309537,-47.0,-47.0,419.0
40000,1.4189383,0.0002526006,-0.098789304,3.1666666666666665,3.1666666666666665,296.0
41000,1.4189383,0.00025140063,-0.20210151,-38.5,-38.5,435.5
42000,1.4189383,0.00025020062,-0.13294661,-10.833333333333334,-10.833333333333334,366.6666666666667
43000,1.4189383,0.00024900064,-0.15131155,-68.0,-68.0,350.3333333333333
44000,1.4189383,0.0002478006,-0.20593959,70.0,70.0,449.5
45000,1.4189383,0.00024660063,-0.14458944,-4.166666666666667,-4.166666666666667,335.0
46000,1.4189383,0.00024540062,-0.20339704,-84.75,-84.75,459.5
47000,1.4189383,0.00024420064,-0.1450283,-2.0,-2.0,328.0
48000,1.4189383,0.00024300063,-0.13566178,-1.75,-1.75,361.0
49000,1.4189383,0.00024180063,-0.16619444,-39.5,-39.5,384.0
50000,1.4189383,0.00024060064,-0.14426681,-15.5,-15.5,333.6666666666667
