Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.417637,0.00029940062,-0.50082606,1.1477592,1.4910554,0.23952956,4.848843,0.5290914,0.5554744,1.5849987268447876,42.09495300007984,1.5849987268447876,435.5
2000,1.4143279,0.0002982006,-0.8339094,1.6682665,0.24922845,0.25825086,1.0954111,0.3938082,0.6682667,0.0,19.27917081490159,0.0,410.5
3000,1.4118103,0.00029700057,-0.4212422,1.6715019,0.23099443,0.25163886,1.0542036,0.38604566,0.66434044,0.0,19.35207826892535,0.0,389.6666666666667
4000,1.4180322,0.00029580062,-0.34333435,2.086288,0.30363804,0.24951553,1.0775465,0.39349723,0.65088624,0.0,22.71136935055256,0.0,411.0
5000,1.4226915,0.0002946006,-0.28432932,2.5100076,0.2178938,0.24481252,1.0957863,0.40712136,0.63806146,0.0,22.876243598759174,0.0,419.0
6000,1.4264834,0.0002934006,-0.1742317,-1.2355268,0.34308136,0.2374287,0.9814156,0.34076256,0.66533756,0.0,20.45301043987274,0.0,427.0
7000,1.4270792,0.00029220062,0.20587398,-5.8327518,0.5557898,0.23963085,0.53719044,0.15085232,0.78576624,None,None,None,None
8000,1.4278791,0.00029100062,0.066435955,-2.2988465,0.086688146,0.23903991,0.38569772,0.1245855,0.8563837,None,None,None,None
