Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4200699,0.00029940062,-0.1262457,0.31798893,0.07967371,0.2254859,3.1815953,0.30090407,0.6745092,0.0,13.49658203125,0.0,427.5
2000,1.4221804,0.0002982006,-0.014980396,1.3970733,0.06952673,0.22685954,0.8061916,0.23789206,0.7727654,0.0,9.77980919679006,0.0,328.6666666666667
3000,1.424404,0.00029700057,0.01505359,1.7521123,0.08656169,0.24765256,0.7677036,0.24458314,0.7695988,0.0,10.855393469333649,0.0,369.5
4000,1.4259979,0.00029580062,0.045944575,1.876119,0.054538563,0.24342942,0.68025184,0.20061718,0.78662986,0.9999993443489075,14.937658667564392,0.9999993443489075,747.0
5000,1.4291182,0.0002946006,0.055038076,2.2830217,0.035418995,0.25839162,0.67739767,0.208854,0.7730181,0.49999967217445374,19.11426481604576,0.49999967217445374,693.0
6000,1.4373399,0.0002934006,0.040753957,2.2531347,0.019104017,0.24413595,0.6568837,0.21107902,0.7706636,0.9999993443489075,18.72421033680439,0.9999993443489075,768.0
7000,1.4483619,0.00029220062,0.059857402,2.1497195,0.012609037,0.25022846,0.610469,0.17787576,0.77953506,0.659999668598175,18.1680109500885,0.659999668598175,770.0
8000,1.4555598,0.00029100062,0.023404667,2.0348992,0.021314742,0.23768234,0.61804456,0.18029696,0.7812776,0.8299995064735413,18.523153603076935,0.8299995064735413,816.0
9000,1.4708915,0.0002898006,-0.01596529,1.9178706,0.014080118,0.22922993,0.57907414,0.16331783,0.78173983,0.9999993443489075,18.668943963944912,0.9999993443489075,829.0
10000,1.4874148,0.00028860063,0.04424259,1.980953,0.016809952,0.24182451,0.54376346,0.14854093,0.792058,0.33499982953071594,16.385149762034416,0.33499982953071594,860.5
11000,1.4997568,0.00028740062,0.0048291027,1.7073305,0.04002991,0.24051872,0.5586952,0.15869084,0.78889745,0.9999993443489075,15.805165410041809,0.9999993443489075,920.0
12000,1.5116397,0.00028620064,0.079144195,1.6562192,0.012091778,0.2370207,0.5237191,0.15283713,0.7956665,0.6699996590614319,15.53813287615776,0.6699996590614319,888.0
13000,1.5273575,0.00028500063,0.04408945,1.4747021,0.014602407,0.22947988,0.48789483,0.11895366,0.79440695,0.4999997913837433,15.39547124505043,0.4999997913837433,880.0
14000,1.5367938,0.00028380062,0.0686521,0.988659,0.025032451,0.24397808,0.4684002,0.10732959,0.79504204,0.659999668598175,12.208666414022446,0.659999668598175,928.0
15000,1.5397877,0.00028260064,0.051728506,1.1752247,0.04778305,0.24815741,0.46352986,0.12242322,0.7998485,0.0,7.098182330528895,0.0,430.6666666666667
16000,1.547214,0.00028140063,0.009726319,1.059831,0.07889416,0.23883176,0.47307903,0.11709723,0.7968956,0.0,4.708437430361907,0.0,317.6666666666667
17000,1.5534302,0.00028020065,0.006307049,0.8391842,0.043740153,0.26098934,0.4634607,0.1295877,0.7939354,0.0,4.821176301687956,0.0,345.5
18000,1.5572329,0.0002790006,0.006743363,0.93556845,0.035366636,0.2378266,0.3940796,0.08913643,0.80722713,0.0,3.7735860335330167,0.0,329.0
