Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029940062,0.21366942,-28.685001462697983,-28.685000437311828,345.5
2000,1.4189383,0.0002982006,0.23282109,-30.853335698445637,-30.853333804756403,372.6666666666667
3000,1.4189383,0.00029700057,0.26625183,-30.975001990795135,-30.97500047739595,386.0
4000,1.4189383,0.00029580062,0.32246482,-24.786668558915455,-24.78666706631581,366.6666666666667
5000,1.4189383,0.0002946006,0.2954277,-29.080002427101135,-29.080000458285213,393.5
6000,1.4189383,0.0002934006,0.3037768,-33.19666886329651,-33.1966671689103,384.0
7000,1.4189383,0.00029220062,0.18771729,-21.820001522699993,-21.82000034302473,301.6666666666667
8000,1.4189383,0.00029100062,0.22116497,-24.806668043136597,-24.80666704600056,307.3333333333333
9000,1.4189383,0.0002898006,0.16967428,-22.4633345802625,-22.46333368184666,296.3333333333333
10000,1.4189383,0.00028860063,0.22433315,-25.23666826883952,-25.236667056257527,323.0
11000,1.4189383,0.00028740062,0.21545568,-21.79000123341878,-21.79000034245352,301.0
12000,1.4189383,0.00028620064,0.27971298,-32.73000228404999,-32.730000503361225,402.5
13000,1.4189383,0.00028500063,0.21888542,-21.676668067773182,-21.676667011653382,312.3333333333333
14000,1.4189383,0.00028380062,0.23015317,-24.390001823504765,-24.390000387405355,344.6666666666667
15000,1.4189383,0.00028260064,0.18705529,-18.17333443959554,-18.17333363244931,296.0
16000,1.4189383,0.00028140063,0.2173023,-25.51000201702118,-25.510000383481383,296.0
17000,1.4189383,0.00028020065,0.21545058,-19.585001200437546,-19.585000313818455,291.75
18000,1.4189383,0.0002790006,0.301139,-32.71000221371651,-32.71000050008297,393.5
19000,1.4189383,0.00027780063,0.29983288,-38.74500289559364,-38.74500058684498,444.0
20000,1.4189383,0.00027660062,0.24429353,-21.28666828076045,-21.28666702037056,350.6666666666667
21000,1.4189383,0.00027540064,0.2308172,-24.925000816583633,-24.925000396557152,353.5
