Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029940062,-0.11591584,-16.23749840259552,-16.23750101774931,419.0
2000,1.4189383,0.0002982006,-0.12344851,-15.816665450731913,-15.816667526960373,339.3333333333333
3000,1.4189383,0.00029700057,-0.118958585,-14.88749885559082,-14.887500919401646,378.0
4000,1.4189383,0.00029580062,-0.085077904,-5.583332856496175,-5.583333979050319,306.6666666666667
5000,1.4189383,0.0002946006,-0.20072773,-42.34999752044678,-42.35000188648701,673.0
6000,1.4189383,0.0002934006,-0.2612459,-21.14166498184204,-21.141667793194454,438.3333333333333
7000,1.4189383,0.00029220062,-0.061208125,-7.5416654745737715,-7.541667362054189,317.6666666666667
8000,1.4189383,0.00029100062,-0.09607927,-14.074999213218689,-14.07500084489584,345.0
9000,1.4189383,0.0002898006,-0.10778834,-13.591665426890055,-13.591667577624321,384.0
10000,1.4189383,0.00028860063,-0.07029389,-11.158332308133444,-11.15833406150341,306.3333333333333
11000,1.4189383,0.00028740062,-0.052781254,-13.07499897480011,-13.075000777840614,317.3333333333333
12000,1.4189383,0.00028620064,-0.1353497,-5.599998950958252,-5.6000007291634875,350.6666666666667
13000,1.4189383,0.00028500063,0.02816199,-7.933332602183024,-7.9333339631557465,279.6666666666667
14000,1.4189383,0.00028380062,-0.12215792,-15.224998831748962,-15.225000893076261,361.6666666666667
15000,1.4189383,0.00028260064,-0.103310525,-2.1416662136713662,-2.1416672617197037,307.0
16000,1.4189383,0.00028140063,-0.010579698,-8.63333257039388,-8.633334045608839,317.6666666666667
17000,1.4189383,0.00028020065,-0.19212435,-21.42499852180481,-21.42500126361847,500.5
18000,1.4189383,0.0002790006,-0.069114976,-4.491665760676066,-4.491667295495669,306.3333333333333
19000,1.4189383,0.00027780063,-0.06822253,-4.899998486042023,-4.900000646710396,313.0
20000,1.4189383,0.00027660062,-0.08739788,-10.583332240581512,-10.583334177732468,372.3333333333333
21000,1.4189383,0.00027540064,-0.052639265,-4.049999316533406,-4.05000061293443,301.3333333333333
22000,1.4189383,0.00027420063,-0.037475858,-6.316665410995483,-6.316667313377063,301.6666666666667
23000,1.4189383,0.00027300062,-0.060509313,-6.091665903727214,-6.091667279601097,285.3333333333333
24000,1.4189383,0.00027180064,-0.12136513,-13.749998887379965,-13.75000094374021,399.6666666666667
25000,1.4189383,0.0002706006,-0.10517423,-12.674998919169107,-12.675000761946043,312.0
26000,1.4189383,0.00026940063,-0.12397601,-18.424998998641968,-18.42500101774931,402.0
27000,1.4189383,0.00026820065,-0.05821582,-6.833332618077596,-6.833334028720856,323.0
28000,1.4189383,0.0002670006,-0.076931514,-9.899999260902405,-9.900000721216202,312.5
29000,1.4189383,0.0002658006,-0.17580259,-17.32499849796295,-17.325001140435536,470.6666666666667
30000,1.4189383,0.00026460065,-0.092520624,-18.04999852180481,-18.050000920891762,354.0
31000,1.4189383,0.0002634006,-0.1570341,-11.287499129772186,-11.287501066923141,484.5
32000,1.4189383,0.00026220066,-0.07088521,-11.966665824254354,-11.966667428612709,317.6666666666667
33000,1.4189383,0.00026100062,-0.016705854,-12.774999459584555,-12.775000711282095,284.6666666666667
34000,1.4189383,0.0002598006,-0.08009341,-10.924998998641968,-10.925000776847204,333.6666666666667
35000,1.4189383,0.00025860063,-0.11416754,-10.974998712539673,-10.975000970065594,435.5
36000,1.4189383,0.00025740062,-0.10698281,-10.716665585835775,-10.716667378942171,301.3333333333333
37000,1.4189383,0.0002562006,-0.117784455,-17.23333175977071,-17.233334278066952,373.0
38000,1.4189383,0.00025500063,-0.054427013,-10.774998585383097,-10.775000795722008,345.0
39000,1.4189383,0.00025380062,-0.19876234,-17.662498354911804,-17.66250119358301,501.0
40000,1.4189383,0.0002526006,-0.20419101,-14.262498617172241,-14.262501142919064,501.0
41000,1.4189383,0.00025140063,-0.14158608,-19.51249861717224,-19.512501142919064,460.0
42000,1.4189383,0.00025020062,0.031503975,-8.358332633972168,-8.35833398004373,285.3333333333333
43000,1.4189383,0.00024900064,-0.10132204,-12.024999380111694,-12.025000721216202,296.0
44000,1.4189383,0.0002478006,-0.20592421,-22.737497925758362,-22.737501315772533,526.0
45000,1.4189383,0.00024660063,-0.08282229,-17.758331815401714,-17.758334408203762,432.3333333333333
46000,1.4189383,0.00024540062,-0.11646157,-12.124999076128006,-12.125000894069672,386.5
47000,1.4189383,0.00024420064,-0.023729717,-11.058332602183023,-11.058334112167358,334.0
48000,1.4189383,0.00024300063,-0.05001315,-8.516665617624918,-8.516667346159617,301.6666666666667
49000,1.4189383,0.00024180063,-0.06831175,-6.291665593783061,-6.291667312383652,301.0
50000,1.4189383,0.00024060064,-0.10438746,-20.024998784065247,-20.025001041591167,402.0
51000,1.4189383,0.00023940064,-0.11795499,-11.599998156229654,-11.600000942746798,416.6666666666667
52000,1.4189383,0.00023820065,-0.09171521,-5.249999205271403,-5.250000630815824,301.3333333333333
53000,1.4189383,0.00023700064,-0.13936001,-12.399999141693115,-12.40000094473362,411.0
54000,1.4189383,0.00023580065,-0.13115083,-8.624999523162842,-8.625000670552254,296.0
55000,1.4189383,0.00023460065,-0.11906901,-12.58333190282186,-12.58333434164524,438.0
56000,1.4189383,0.00023340064,-0.10531976,-12.366665244102478,-12.36666744450728,323.0
57000,1.4189383,0.00023220065,-0.079942934,-6.908332387606303,-6.90833406150341,339.6666666666667
58000,1.4189383,0.00023100065,-0.012274537,-4.091666181882222,-4.091667279601097,301.0
59000,1.4189383,0.00022980064,-0.06541328,-9.483332554499308,-9.483334079384804,329.0
60000,1.4189383,0.00022860065,-0.30182302,-10.724998474121094,-10.7250010445714,477.0
61000,1.4189383,0.00022740064,-0.08138668,-15.849998950958252,-15.85000091791153,369.5
62000,1.4189383,0.00022620066,-0.1337842,-17.133332133293152,-17.13333424429099,356.0
63000,1.4189383,0.00022500065,-0.12784591,-12.94999893506368,-12.950000827511152,344.6666666666667
64000,1.4189383,0.00022380064,-0.09193936,-19.5249981880188,-19.525001391768456,591.0
65000,1.4189383,0.00022260063,-0.11263257,-8.141665707031885,-8.14166752497355,393.3333333333333
66000,1.4189383,0.00022140065,-0.09661578,-4.97499950726827,-4.975000595053037,284.6666666666667
67000,1.4189383,0.00022020066,-0.11360963,-13.183332363764444,-13.183334226409594,377.6666666666667
68000,1.4189383,0.00021900066,-0.11322038,-10.324998617172241,-10.325000777840614,339.3333333333333
69000,1.4189383,0.00021780064,-0.1069887,-19.19999885559082,-19.200001128017902,446.5
70000,1.4189383,0.00021660066,-0.12717031,-11.524999022483826,-11.52500070631504,291.5
71000,1.4189383,0.00021540065,-0.1386655,-10.883332331975302,-10.883334244290987,405.0
72000,1.4189383,0.00021420064,-0.09551263,-8.19999901453654,-8.200000777840614,355.6666666666667
73000,1.4189383,0.00021300066,-0.07218112,-8.824999213218689,-8.82500084489584,386.5
74000,1.4189383,0.00021180065,-0.059439,-16.112497925758362,-16.112501092255116,460.0
75000,1.4189383,0.00021060064,-0.14688158,-12.07499901453654,-12.075000877181688,378.0
76000,1.4189383,0.00020940065,-0.13825259,-5.524998903274536,-5.525000795722008,386.0
77000,1.4189383,0.00020820067,-0.12197593,-20.29999876022339,-20.300001092255116,426.5
78000,1.4189383,0.00020700066,-0.08455987,-6.881248563528061,-6.881250683218241,316.25
79000,1.4189383,0.00020580065,-0.085112914,-8.091666062672934,-8.091667329271635,295.6666666666667
80000,1.4189383,0.00020460064,-0.038478423,-8.25833249092102,-8.258333946267763,268.0
81000,1.4189383,0.00020340065,-0.102927856,-7.374998927116394,-7.37500074505806,345.3333333333333
82000,1.4189383,0.00020220065,-0.08687644,-6.524999380111694,-6.525000795722008,378.5
83000,1.4189383,0.00020100066,-0.12706912,-12.783332387606302,-12.783334210515022,372.0
84000,1.4189383,0.00019980063,-6.6389795e-05,-7.824999173482259,-7.825000678499539,306.3333333333333
85000,1.4189383,0.00019860065,-0.095934264,-10.374998966852823,-10.375000779827436,340.0
