Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
960004,0.6066745,9.618e-05,115.64279,339.81213,0.49826324,1572.599788427353,1572.5997891848285,1340.0
970004,0.61776155,9.614e-05,107.343605,260.73846,0.5164976,1677.946135554995,1677.9461379051208,1453.0
980002,0.60152745,9.61e-05,109.34598,331.11987,0.5615563,1699.6879490464926,1699.6879444960505,1481.0
990004,0.586378,9.606001e-05,111.009285,301.52484,0.5997639,1120.9004205805916,1120.9004120166812,1102.2857142857142
1000002,0.59957427,9.602e-05,107.61572,302.10175,0.5900647,1630.687221761793,1630.687211452052,1440.25
1010001,0.53223264,9.5980016e-05,124.6755,318.5977,0.6066069,741.2618091901144,741.2618070920308,723.8666666666667
1020001,0.5758426,9.594001e-05,116.502754,327.0595,0.5701321,1968.666474501292,1968.666464978208,1622.5
1030002,0.5423683,9.590002e-05,123.182144,285.10086,0.5750309,1041.2215923468273,1041.2216050624847,1036.3333333333333
1040003,0.54418504,9.5860014e-05,117.18929,327.90363,0.60057116,1767.5579355160396,1767.5579151498775,1512.3333333333333
1050002,0.5412296,9.582001e-05,115.349686,316.61688,0.55119467,1614.6775578922695,1614.6775648411776,1582.3333333333333
1060001,0.5298283,9.578001e-05,124.45476,225.99025,0.5891267,1818.6352104345958,1818.6352100223303,1766.0
1070003,0.5275733,9.5740004e-05,121.351524,259.03802,0.5998007,1729.7901087999344,1729.790112935938,1564.0
1080003,0.5425752,9.57e-05,125.139145,294.37564,0.5871777,1151.976584404707,1151.9765811543912,1316.25
1090003,0.5576296,9.5660005e-05,133.6056,264.83807,0.5755669,1615.0784561038017,1615.0784487687051,1352.25
1100003,0.5869531,9.562001e-05,133.71599,261.1928,0.53128624,1594.2541106277042,1594.2541077675091,1467.6666666666667
1110002,0.5595569,9.5580006e-05,132.93387,260.04605,0.5659525,2283.524543325106,2283.524548617502,1769.0
