Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
10001,1.0949551,9.998001e-05,0.29020146,83.67961330624188,83.67961225921617,442.5882352941176,44.500412,0.8619893
20003,1.0835311,9.994001e-05,0.35275254,23.4345440864563,23.434544403105974,789.1666666666666,45.29171,0.8476961
30001,1.0851666,9.990001e-05,0.119255856,40.31940785249074,40.319409023225305,686.1333333333333,43.022717,0.85045636
40000,1.0255169,9.986001e-05,-3.2477345,41.007142555713656,41.00714148133993,505.75,28.790314,0.81830233
50004,1.0273411,9.982e-05,2.1555235,58.28031302349908,58.2803137459393,309.82142857142856,45.420265,0.81411237
60002,1.0539815,9.978e-05,2.740129,57.416863032749724,57.41686473077252,416.14285714285717,44.196815,0.8337002
70004,0.98914486,9.974e-05,11.406321,108.50661063652772,108.50661061704159,411.7692307692308,39.882957,0.9541954
80001,1.0321885,9.9699995e-05,3.862622,104.10948510964711,104.10948477685452,562.25,40.109585,0.83264995
90000,1.0378171,9.966001e-05,1.0108672,15.615301820966932,15.615302907509935,666.7777777777778,34.873997,0.80391866
100003,1.0211585,9.962001e-05,8.934465,56.20223903656006,56.20224061665627,637.6923076923077,32.86651,0.8453368
110003,0.9857635,9.958e-05,13.678036,105.20610889563194,105.20610937791375,439.8076923076923,28.605137,0.95519984
120000,0.9437144,9.9540004e-05,12.604775,94.58831167990162,94.58831261170488,303.741935483871,22.70404,0.913466
130002,0.96134883,9.950001e-05,9.6216755,98.33069108724594,98.33069033399224,456.55,31.4926,0.84428996
140001,0.97686183,9.946001e-05,12.400767,121.11727815204196,121.1172776489898,364.0,26.93281,0.8413965
150002,0.98814785,9.942e-05,13.375956,98.99536450420108,98.99536562072379,320.39285714285717,18.105007,0.873651
160001,0.92071766,9.9380006e-05,8.30296,96.19458390230483,96.19458366761154,430.90909090909093,33.213604,0.80696756
170000,0.9218589,9.934002e-05,8.076965,116.74614275164075,116.7461420558393,497.1666666666667,28.362127,0.7669277
180000,0.97362244,9.9300014e-05,8.622386,109.85943199339367,109.85943183373837,461.3333333333333,25.195148,0.82071316
190001,0.9970905,9.926001e-05,8.61154,140.0632426236805,140.06324381734194,519.4736842105264,23.652262,0.73697937
200003,0.95311075,9.922001e-05,16.796354,235.13385666906834,235.13385783904232,592.125,23.757061,0.6957768
210002,0.95010215,9.9180004e-05,14.284439,199.31617825764877,199.31617565682302,786.8461538461538,24.462801,0.78302777
220000,0.9547038,9.914e-05,-0.6934412,-5.078597082032098,-5.07859898193015,799.4444444444445,30.314966,0.75579125
230002,0.9224905,9.910001e-05,6.5897107,184.76689347955914,184.76689181145696,994.2222222222222,25.263723,0.7043136
240003,0.919271,9.906e-05,10.5181,167.87110494077206,167.87110583111644,1177.625,33.395515,0.798041
250002,0.88536316,9.9020006e-05,17.4612,307.0147227421403,307.01472804509103,1233.125,28.468304,0.7929679
260003,0.9191136,9.898e-05,20.153763,318.458175652557,318.45817770229445,1112.5555555555557,21.828133,0.81105155
270003,0.9474599,9.894e-05,19.789762,207.06735421078545,207.06735235665525,837.3571428571429,19.03165,0.8127326
280002,0.90831614,9.8900004e-05,26.508053,185.34742005382265,185.34742081484623,567.5714285714286,18.551142,0.83790314
290003,0.8913441,9.886e-05,21.503489,175.9416590233644,175.9416583093504,820.8333333333334,16.58933,0.78903115
300002,0.896728,9.8820004e-05,23.357662,284.64398489147425,284.6439826441929,1052.5,21.836716,0.7501348
310000,0.88690335,9.8780016e-05,17.601452,239.3967659132821,239.39676563761063,1198.0,21.553957,0.7710874
320001,0.8402181,9.874001e-05,30.163515,121.39159166812897,121.3915878906846,1140.5,27.87265,0.7497957
330004,0.8451517,9.87e-05,33.07879,987.1025825381279,987.1025913655758,3154.2,27.663433,0.7536835
340004,0.8727778,9.866e-05,24.883263,481.3647872457902,481.3647848231097,2045.6666666666667,19.625263,0.77368665
350000,0.87831306,9.862e-05,29.157915,200.6717997789383,200.67179782129824,632.0,22.420593,0.73286575
360004,0.8469943,9.858001e-05,30.823574,723.3058815836906,723.3058837935329,3186.8,18.707205,0.79098094
370003,0.7985864,9.854e-05,40.94995,758.7152783870697,758.7152836248279,2954.0,19.123846,0.7872624
380001,0.7941193,9.850001e-05,42.032192,1011.4610368013382,1011.4610393022498,4239.0,23.71333,0.79251176
390000,0.83793586,9.846001e-05,35.71502,524.9004554748535,524.9004595391452,2248.0,28.149323,0.7817945
400000,0.8370955,9.842001e-05,33.4801,859.5492864474654,859.5492847096175,3416.75,23.33588,0.77268225
410002,0.8170342,9.838001e-05,32.486115,380.7338189482689,380.7338146961161,1582.0,25.102907,0.7779114
